LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1766633906.608679,44478.000,5158,3,AX,1,100,0.024
1766633906.608679,44478.000,5158,3,AX,1,100,0.016
1766633906.608679,44478.000,5158,3,AX,1,100,0.019
1766633906.648675,44518.000,5175,2,AX,1,100,0.017
1766633906.688672,44558.000,5175,2,AX,1,100,0.009
1766633906.728669,44598.000,5191,3,AX,1,100,0.016
1766633906.768666,44638.000,5191,3,AX,1,100,0.014
1766633906.808663,44678.000,5191,3,AX,1,100,0.007
1766633906.848659,44718.000,5207,2,AX,1,100,0.028
1766633906.888656,44758.000,5207,2,AX,1,100,0.026
1766633906.924320,44793.667,5223,3,AX,1,100,0.011
1766633906.959984,44829.333,5223,3,AX,1,100,0.015
1766633906.995647,44865.000,5223,3,AX,1,100,0.016
1766633907.035644,44905.000,5240,3,AX,1,100,0.013
1766633907.075641,44945.000,5240,3,AX,1,100,0.008
1766633907.115638,44985.000,5240,3,AX,1,100,0.016
1766633907.155635,45025.000,5257,3,AX,1,100,0.010
1766633907.195631,45065.000,5257,3,AX,1,100,0.017
1766633907.235628,45105.000,5257,3,AX,1,100,0.013
1766633907.275625,45145.000,5272,2,AX,1,100,0.016
1766633907.315622,45185.000,5272,2,AX,1,100,0.013
1766633907.355618,45225.000,5288,3,AX,1,100,0.014
1766633907.395615,45265.000,5288,3,AX,1,100,0.013
1766633907.435612,45305.000,5288,3,AX,1,100,0.021
1766633907.475609,45345.000,5305,2,AX,1,100,0.001
1766633907.515605,45385.000,5305,2,AX,1,100,0.025
1766633907.555602,45425.000,5322,3,AX,1,100,0.030
1766633907.595599,45465.000,5322,3,AX,1,100,0.012
1766633907.635596,45505.000,5322,3,AX,1,100,0.029
1766633907.675592,45545.000,5337,2,AX,1,100,0.038
1766633907.715589,45585.000,5337,2,AX,1,100,0.024
1766633907.751253,45620.667,5353,3,AX,1,100,0.026
1766633907.786917,45656.333,5353,3,AX,1,100,0.016
1766633907.822581,45692.000,5353,3,AX,1,100,0.016
1766633907.862577,45732.000,5371,3,AX,1,100,0.017
1766633907.902574,45772.000,5371,3,AX,1,100,0.014
1766633907.942571,45812.000,5371,3,AX,1,100,0.019
1766633907.982568,45852.000,5387,2,AX,1,100,0.021
1766633908.022564,45892.000,5387,2,AX,1,100,0.021
1766633908.062895,45932.333,5403,3,AX,1,100,0.022
1766633908.103225,45972.667,5403,3,AX,1,100,0.020
1766633908.143555,46013.000,5403,3,AX,1,100,0.017
1766633908.183052,46052.500,5419,2,AX,1,100,0.031
1766633908.222548,46092.000,5419,2,AX,1,100,0.008
1766633908.262545,46132.000,5436,3,AX,1,100,0.003
1766633908.302542,46172.000,5436,3,AX,1,100,0.017
1766633908.342539,46212.000,5436,3,AX,1,100,0.011
1766633908.382535,46252.000,5452,2,AX,1,100,0.019
1766633908.422532,46292.000,5452,2,AX,1,100,0.018
1766633908.462529,46332.000,5470,3,AX,1,100,0.015
1766633908.502526,46372.000,5470,3,AX,1,100,0.008
1766633908.542522,46412.000,5470,3,AX,1,100,0.014
1766633908.582519,46452.000,5484,2,AX,1,100,0.017
1766633908.622516,46492.000,5484,2,AX,1,100,0.010
1766633908.657846,46527.333,5501,3,AX,1,100,0.017
1766633908.693177,46562.667,5501,3,AX,1,100,0.014
1766633908.728507,46598.000,5501,3,AX,1,100,0.011
1766633908.768504,46638.000,5517,3,AX,1,100,0.019
1766633908.808501,46678.000,5517,3,AX,1,100,0.013
1766633908.848498,46718.000,5517,3,AX,1,100,0.014
1766633908.888494,46758.000,5537,2,AX,1,100,0.005
1766633908.928491,46798.000,5537,2,AX,1,100,0.009
1766633908.968488,46838.000,5551,3,AX,1,100,0.014
1766633909.008485,46878.000,5551,3,AX,1,100,0.012
1766633909.048481,46918.000,5551,3,AX,1,100,0.011
1766633909.088478,46958.000,5568,3,AX,1,100,0.005
1766633909.128475,46998.000,5568,3,AX,1,100,0.002
1766633909.168472,47038.000,5568,3,AX,1,100,0.009
1766633909.208468,47078.000,5585,2,AX,1,100,0.011
1766633909.248465,47118.000,5585,2,AX,1,100,0.006
1766633909.288462,47158.000,5602,3,AX,1,100,0.009
1766633909.328459,47198.000,5602,3,AX,1,100,0.009
1766633909.368456,47238.000,5602,3,AX,1,100,0.010
1766633909.408452,47278.000,5616,2,AX,1,100,0.009
1766633909.448449,47318.000,5616,2,AX,1,100,0.009
1766633909.484113,47353.667,5634,3,AX,1,100,-0.002
1766633909.519777,47389.333,5634,3,AX,1,100,-0.000
1766633909.555440,47425.000,5634,3,AX,1,100,0.005
1766633909.595437,47465.000,5650,3,AX,1,100,0.007
1766633909.635434,47505.000,5650,3,AX,1,100,0.007
1766633909.675431,47545.000,5650,3,AX,1,100,-0.001
1766633909.715428,47585.000,5667,2,AX,1,100,0.012
1766633909.755424,47625.000,5667,2,AX,1,100,0.004
1766633909.795421,47665.000,5681,2,AX,1,100,0.006
1766633909.835418,47705.000,5681,2,AX,1,100,0.010
1766633909.875415,47745.000,5699,3,AX,1,100,0.008
1766633909.915411,47785.000,5699,3,AX,1,100,-0.001
1766633909.955408,47825.000,5699,3,AX,1,100,-0.005
1766633909.995405,47865.000,5715,3,AX,1,100,-0.006
1766633910.035402,47905.000,5715,3,AX,1,100,0.001
1766633910.075398,47945.000,5715,3,AX,1,100,-0.007
1766633910.115395,47985.000,5732,2,AX,1,100,0.001
1766633910.155392,48025.000,5732,2,AX,1,100,-0.005
1766633910.195389,48065.000,5748,3,AX,1,100,-0.005
1766633910.235385,48105.000,5748,3,AX,1,100,-0.007
1766633910.275382,48145.000,5748,3,AX,1,100,-0.004
1766633910.310713,48180.333,5764,3,AX,1,100,-0.016
1766633910.346043,48215.667,5764,3,AX,1,100,-0.014
1766633910.381374,48251.000,5764,3,AX,1,100,-0.014
1766633910.421371,48291.000,5780,2,AX,1,100,-0.001
1766633910.461367,48331.000,5780,2,AX,1,100,-0.010
1766633910.501364,48371.000,5798,3,AX,1,100,-0.013
1766633910.541361,48411.000,5798,3,AX,1,100,-0.009
1766633910.581357,48451.000,5798,3,AX,1,100,-0.009
1766633910.621354,48491.000,5814,2,AX,1,100,-0.016
1766633910.661351,48531.000,5814,2,AX,1,100,-0.006
1766633910.701348,48571.000,5829,3,AX,1,100,-0.016
1766633910.741345,48611.000,5829,3,AX,1,100,-0.012
1766633910.781341,48651.000,5829,3,AX,1,100,-0.018
1766633910.821338,48691.000,5846,2,AX,1,100,-0.016
1766633910.861335,48731.000,5846,2,AX,1,100,-0.018
1766633910.901332,48771.000,5863,3,AX,1,100,-0.010
1766633910.941329,48811.000,5863,3,AX,1,100,-0.011
1766633910.981325,48851.000,5863,3,AX,1,100,-0.014
1766633911.021322,48891.000,5879,2,AX,1,100,-0.011
1766633911.061319,48931.000,5879,2,AX,1,100,-0.020
1766633911.096982,48966.667,5894,3,AX,1,100,-0.018
1766633911.132646,49002.333,5894,3,AX,1,100,-0.021
1766633911.168310,49038.000,5894,3,AX,1,100,-0.025
1766633911.208307,49078.000,5911,3,AX,1,100,-0.023
1766633911.248304,49118.000,5911,3,AX,1,100,-0.022
1766633911.288300,49158.000,5911,3,AX,1,100,-0.018
1766633911.328297,49198.000,5928,2,AX,1,100,-0.025
1766633911.368294,49238.000,5928,2,AX,1,100,-0.021
1766633911.408291,49278.000,5944,3,AX,1,100,-0.023
1766633911.448287,49318.000,5944,3,AX,1,100,-0.021
1766633911.488284,49358.000,5944,3,AX,1,100,-0.018
1766633911.528281,49398.000,5960,2,AX,1,100,-0.023
1766633911.568278,49438.000,5960,2,AX,1,100,-0.027
1766633911.608274,49478.000,5976,3,AX,1,100,-0.019
1766633911.648271,49518.000,5976,3,AX,1,100,-0.021
1766633911.688268,49558.000,5976,3,AX,1,100,-0.027
1766633911.728265,49598.000,5998,2,AX,1,100,-0.019
1766633911.768262,49638.000,5998,2,AX,1,100,-0.025
1766633911.808258,49678.000,6015,3,AX,1,100,-0.011
1766633911.848255,49718.000,6015,3,AX,1,100,-0.029
1766633911.888252,49758.000,6015,3,AX,1,100,-0.029
1766633911.923916,49793.667,6030,3,AX,1,100,-0.029
1766633911.959579,49829.333,6030,3,AX,1,100,-0.035
1766633911.995243,49865.000,6030,3,AX,1,100,-0.034
1766633912.035240,49905.000,6046,2,AX,1,100,-0.034
1766633912.075237,49945.000,6046,2,AX,1,100,-0.037
1766633912.115233,49985.000,6063,3,AX,1,100,-0.039
1766633912.155230,50025.000,6063,3,AX,1,100,-0.034
1766633912.195227,50065.000,6063,3,AX,1,100,-0.034
1766633912.235224,50105.000,6080,2,AX,1,100,-0.037
1766633912.275221,50145.000,6080,2,AX,1,100,-0.041
